"cd_imovel";"cd_uf_municipio";"cd_tema";"ds_tema";"vlr_mod_fiscal";"cd_status";"cd_tipo";"ds_condic_cadastro";"ds_municipio";"cd_estado";"cd_uf_car";"dt_inscricao";"vlr_area_original";"vlr_area_calculada";"geometria"
AC-1200013-47B9080C136A4332B85658BDC1000851;"1200013";AREA_IMOVEL;Area do Imovel;0.1652;PE;IRU;Analisado, aguardando atendimento a notificacao;Acrelandia;AC;"0_AC";"2014-08-22";16.51248050505668;2.1542742203562986;POLYGON ((-67.05285479742776 -10.101825893007922, -67.05562639385758 -10.102284036084487, -67.0560302449781 -10.102338336685929, -67.0571890009178 -10.102494137201331, -67.05751145496276 -10.102536516583745, -67.05714854832766 -10.101887920675683, -67.05287375385988 -10.101680325328543, -67.05285479742776 -10.101825893007922))
AC-1200013-14206735A1654647AFFB10C90E3AAA80;"1200013";AREA_IMOVEL;Area do Imovel;0.4101;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2021-06-27";40.997959935245476;40.635074403453814;POLYGON ((-67.05048120313616 -10.121495653595412, -67.05052389739073 -10.12707530487637, -67.06181873162953 -10.121864558782377, -67.06187255615636 -10.121426754442194, -67.06180040286165 -10.121428523616688, -67.06179996748746 -10.121429284220339, -67.06179871281911 -10.121430737527348, -67.06179720353394 -10.12143192426749, -67.06179549526861 -10.121432800694038, -67.06179365099483 -10.12143333449933, -67.06179173869792 -10.121433506005735, -67.06163895217973 -10.121432482333054, -67.05623498650026 -10.121564985752185, -67.05623462087605 -10.121564988030846, -67.05048120313616 -10.121495653595412))
AC-1200013-53480A097CA148E595E8AC7609BFCB0D;"1200013";AREA_IMOVEL;Area do Imovel;0.0604;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2020-12-28";6.033882861501912;3.1877233105510125;POLYGON ((-66.94716955871633 -9.998888671488416, -66.94712053841126 -9.998951595370784, -66.94818456425415 -9.999759642389114, -66.95042486431697 -9.996851606753095, -66.94986261654707 -9.996417351547848, -66.94769609487062 -9.999261373141202, -66.94769477837697 -9.999262792168622, -66.94769321315994 -9.999263930979406, -66.94769145786499 -9.99926474690466, -66.94768957825941 -9.999265209373338, -66.9476876447682 -9.999265301057692, -66.94768572983523 -9.999265018522497, -66.94768390520915 -9.999264372353768, -66.94768223925493 -9.999263386762117, -66.94716955871633 -9.998888671488416))
AC-1200013-34931187BCC84FDDAD832B70CE45D428;"1200013";AREA_IMOVEL;Area do Imovel;0.9038;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2021-01-25";90.34528715296388;89.8029264221162;POLYGON ((-66.99845923958094 -9.77629374843473, -66.99745761799984 -9.775894717352626, -66.99745742826181 -9.775894639500004, -66.99670664172115 -9.77557754590325, -66.99572005528108 -9.77521823164374, -66.99498054203404 -9.774989187492523, -66.9925123867096 -9.793079097893354, -66.99377332272017 -9.793447745311992, -66.99570443002716 -9.793976346533917, -66.99570455218259 -9.793976380805905, -66.99621946312645 -9.794124374337647, -66.99693315943338 -9.794317785029023, -66.99845923958094 -9.77629374843473))
AC-1200013-A70C75680D694B5B92EB909703C4387E;"1200013";AREA_IMOVEL;Area do Imovel;0.2017;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2022-01-13";20.164766094718875;19.906696998538173;POLYGON ((-67.14153332698093 -9.684216404487346, -67.14079968821507 -9.684299054114232, -67.14079787171842 -9.684299092654115, -67.14079607823098 -9.684298801882312, -67.14030293678645 -9.684171989511057, -67.13958131112953 -9.68404645845875, -67.13606982203636 -9.69158136308058, -67.13789222254401 -9.692373953418688, -67.14153332698093 -9.684216404487346))
AC-1200013-7928C76985694C8CA53E476FE13BB041;"1200013";AREA_IMOVEL;Area do Imovel;0.1376;PE;IRU;Analisado, aguardando atendimento a notificacao;Acrelandia;AC;"0_AC";"2015-05-05";13.755482798765227;8.394356609268762;POLYGON ((-67.03901058334652 -10.121476053642269, -67.03914480539959 -10.121212878401781, -67.03872202804543 -10.121211261682085, -67.03872002890998 -10.121211052010588, -67.03871811209478 -10.121210446763365, -67.03871635504886 -10.121209470395458, -67.03871482876572 -10.121208162357055, -67.03871359491491 -10.121206575499512, -67.03871270335023 -10.121204773939882, -67.0387121900954 -10.121202830470265, -67.03871207588848 -10.121200823616643, -67.03871236534404 -10.12119883446603, -67.03919965339277 -10.119251331487046, -67.03710903788743 -10.119445841093336, -67.03710716957465 -10.119445839636526, -67.03710533414046 -10.119445490672138, -67.03710359565245 -10.119444806381106, -67.03710201479419 -10.119443810649253, -67.03710064674702 -10.11944253823355, -67.03709953926393 -10.119441033548865, -67.03709873100269 -10.11943934911765, -67.03709825017638 -10.119437543736568, -67.03700628433845 -10.118891097480786, -67.0366472441945 -10.118924410149297, -67.03664531576824 -10.118924402330554, -67.03664342470078 -10.11892402450415, -67.03664164131881 -10.118923290721026, -67.03664003194432 -10.118922228269764, -67.03663865642815 -10.118920876661745, -67.03663756592424 -10.11891928616177, -67.03663680098721 -10.118917515918769, -67.03663639006423 -10.118915631766109, -67.03656104310846 -10.118280931852897, -67.0359457898202 -10.11824369265851, -67.03648844854024 -10.121672076711938, -67.03648844854024 -10.12167207671194, -67.03648844854024 -10.121672076711942, -67.03648844854024 -10.121672076711944, -67.03648844854024 -10.121672076711945, -67.03658030827728 -10.121706857527556, -67.03715764802607 -10.121685807363814, -67.03715950988686 -10.12168591348412, -67.03716131966792 -10.12168636346157, -67.03716301442888 -10.121687141646905, -67.03716453522959 -10.121688220976495, -67.03716582917983 -10.121689563913556, -67.03716685127876 -10.121691123753592, -67.03716756597994 -10.121692846248688, -67.03716794842762 -10.121694671494133, -67.03716798532106 -10.121696536011774, -67.03715753090242 -10.121838332373812, -67.03735401832517 -10.121854488841526, -67.03740126684403 -10.121858373920576, -67.03742389891013 -10.121860234875543, -67.03745982692523 -10.121863189109497, -67.03747377403718 -10.121708341139186, -67.0374741247624 -10.121706469099935, -67.03747482405629 -10.121704697511053, -67.03747584655171 -10.121703090637615, -67.03747715515723 -10.121701706769587, -67.03747870240268 -10.121700596107322, -67.03748043216112 -10.121699798940528, -67.03748228168487 -10.121699344186743, -67.03900156472814 -10.12147637596168, -67.03900273616733 -10.121476273917304, -67.03901058334652 -10.121476053642269))
AC-1200013-2B930E7280ED43378138D93D208B04B6;"1200013";AREA_IMOVEL;Area do Imovel;0.4663;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2016-05-03";46.60460196688064;44.134105979526865;POLYGON ((-66.80937751013897 -9.905534145814595, -66.80942213246966 -9.905384647692058, -66.80942290284185 -9.905382780167697, -66.8094240328378 -9.905381105584258, -66.809425476341 -9.905379692283509, -66.80942717444039 -9.905378597943955, -66.80942905783444 -9.905377867226914, -66.80943104965958 -9.905377529953828, -66.80943306862703 -9.905377599889219, -66.81630908618388 -9.906317193517136, -66.8163110883825 -9.906317681429687, -66.81631294805251 -9.906318569396758, -66.81631458621632 -9.906319819707647, -66.81631593330347 -9.90632137926343, -66.81631693210508 -9.906323181831981, -66.81631754020344 -9.906325150860777, -66.8163177317735 -9.90632720272796, -66.81631749867954 -9.906329250293643, -66.81631685082073 -9.906331206600617, -66.81623186245193 -9.906519985963001, -66.81629916233763 -9.906529665495986, -66.81732272439987 -9.904135727892465, -66.81753423335356 -9.90364103999261, -66.80429228066188 -9.902003953756187, -66.80351263890071 -9.904529316339996, -66.80353146677268 -9.90453210815599, -66.8035333272021 -9.90453256974411, -66.80353506538142 -9.90453337782446, -66.80353661744539 -9.904534502706062, -66.80353792636714 -9.904535903057827, -66.80353894405346 -9.904537527427172, -66.80353963311188 -9.904539316130524, -66.80353996822461 -9.904541203446254, -66.80353993707874 -9.904543120029446, -66.80353954081863 -9.904544995459831, -66.80349463333971 -9.904688029964104, -66.80537611510805 -9.904958637627825, -66.80546158851298 -9.904680827714726, -66.80546229730811 -9.904679110667333, -66.8054633114526 -9.904677554340488, -66.80546459595193 -9.90467621243746, -66.80546610648264 -9.904675131262525, -66.80546779092172 -9.904674348123162, -66.80546959114521 -9.904673890042707, -66.80547144503382 -9.904673772827879, -66.80547328861648 -9.904674000523345, -66.80636530580253 -9.904869634671462, -66.80636727408059 -9.904870286399499, -66.80636906565248 -9.904871330017302, -66.8063706035009 -9.904872720661118, -66.80637182151575 -9.904874398549003, -66.8063726673362 -9.904876291550774, -66.80637310460156 -9.904878318288787, -66.80637311451434 -9.904880391636247, -66.80637269664842 -9.904882422462688, -66.80630617702701 -9.905092405537374, -66.80672511337262 -9.905152659847376, -66.80864049418605 -9.905428143105189, -66.80869268070961 -9.905246817163963, -66.8086933836644 -9.905245036950447, -66.80869441290834 -9.905243423270637, -66.80869573073706 -9.905242035238553, -66.80869728887448 -9.905240923702056, -66.80869903024126 -9.905240129380125, -66.80870089104582 -9.905239681371198, -66.8087028031212 -9.90523959608721, -66.80910585565948 -9.905260279606136, -66.80940668990232 -9.905272508601117, -66.8094086935725 -9.90527279505761, -66.80941059851762 -9.905273479115777, -66.80941232669682 -9.905274532751456, -66.80941380731089 -9.90527591279981, -66.80941497970275 -9.90527756272369, -66.80941579584243 -9.905279414929813, -66.8094162222947 -9.905281393537898, -66.80941624158888 -9.905283417489288, -66.80941585293453 -9.905285403867724, -66.80934193148693 -9.905529028647864, -66.80937751013897 -9.905534145814595))
AC-1200013-1859E7BB5D664CB195705A642C02C9BD;"1200013";AREA_IMOVEL;Area do Imovel;0.1635;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2021-07-21";16.3429142867842;16.058411750079834;POLYGON ((-66.99234511063352 -9.989912265113333, -66.99382069429804 -9.991375027226008, -66.996477389609 -9.99278455254314, -66.99850196506176 -9.993064696230471, -66.9985036859501 -9.993065091731742, -67.00026015761107 -9.993636084653128, -67.00026143864444 -9.99363660140941, -67.00159707853514 -9.994285990296222, -67.00239375002486 -9.994495181356584, -67.00237686879827 -9.992834285252997, -66.99234511063352 -9.989912265113333))
AC-1200013-1DEC07E4BE534089A19A008C308FEAFA;"1200013";AREA_IMOVEL;Area do Imovel;0.5532;PE;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2014-08-27";55.29721335957795;54.67023456593333;POLYGON ((-66.94431421242102 -10.057226522193446, -66.94256157567956 -10.058745140210345, -66.94454932183189 -10.07979971135551, -66.94459945599837 -10.080077602628915, -66.94459961000815 -10.080079689791697, -66.94459932623406 -10.08008176330074, -66.9445986171053 -10.080083732337023, -66.94459751368147 -10.080085510657396, -66.94459606429218 -10.080087020372003, -66.94457789412888 -10.080102354356104, -66.9445980098189 -10.080315423427502, -66.94548534979565 -10.07973299463213, -66.94548575088609 -10.079732744722875, -66.94633871363696 -10.079228865900307, -66.94469720903614 -10.057021490964615, -66.94431421242102 -10.057226522193446))
AC-1200013-1B9372BAB15248A08B99EC958F690F81;"1200013";AREA_IMOVEL;Area do Imovel;0.8232;AT;IRU;Aguardando analise;Acrelandia;AC;"0_AC";"2016-10-26";82.29728232176602;81.74974086783975;POLYGON ((-67.11185787744148 -9.856286000544985, -67.11053481683618 -9.859670962796555, -67.12843277141234 -9.866280857897236, -67.12954218661267 -9.863001819643026, -67.11185787744148 -9.856286000544985))
